Mês,Escritorios_Contratados_no_Mes,Escritorios_Contratados_Acumulado,Pilotos_Ativos,Meses_Inicio_Pagamento_Pilotos,Escritorios_Pagantes,Receita_FR,Marketing,Novos_Pagantes_Mes,Pagantes_Simulador,Receita_Simulador,Receita_Total,Despesa_Pre_Hires,Quantidade_Suporte,Despesa_Suporte,Vendedores_Ativos,Despesa_Vendedores,Desenvolvedores_Ativos,Despesa_Desenvolvedores,Despesa_Retirada_Fundador,Despesa_Outras,Despesa_Aluguel_Contas,Despesa_Mes,Resultado_Mes,Caixa_Antes_Aporte,Aporte_Necessario,Caixa_Apos_Aporte,Aporte_Acumulado,Vendedores_Agendados_Proximo_Mes,Desenvolvedores_Agendados_Proximo_Mes,Aluguel_Ativo,Aluguel_Ativo_Proximo,Marketing_Escalonado,Atinge_Cash_Buffer,PAD_Disponivel,Distribuicao_Reinvestimento,Distribuicao_Fundador,Distribuicao_Reserva,Distribuido_Acumulado
11,1,11,0,4;5;6,11,11326.7,1000.0,6,54.26,2707.78,14034.48,0.0,2,6800.0,0,0.0,0,0.0,5000.0,0.0,1900.0,14700.0,-665.52,2031.89,0.0,2031.89,31690.68,0,0,True,True,False,False,0.0,0.0,0.0,0.0,0.0
12,1,12,0,4;5;6,12,12356.4,3000.0,18,70.09,3497.67,15854.07,0.0,2,6800.0,0,0.0,0,0.0,5000.0,0.0,1900.0,16700.0,-845.93,1185.96,0.0,1185.96,31690.68,0,0,True,True,True,False,0.0,0.0,0.0,0.0,0.0
13,1,13,0,4;5;6,13,13386.1,3000.0,18,85.29,4255.96,17642.06,0.0,2,6800.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,20950.0,-3307.94,-2121.98,2121.98,0.0,33812.66,0,0,True,True,True,False,0.0,0.0,0.0,0.0,0.0
14,1,14,0,4;5;6,14,14415.8,3000.0,18,99.88,4983.92,19399.72,0.0,2,6800.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,20950.0,-1550.28,-1550.28,1550.28,0.0,35362.94,0,0,True,True,True,False,0.0,0.0,0.0,0.0,0.0
15,1,15,0,4;5;6,15,15445.5,3000.0,18,113.88,5682.77,21128.27,0.0,2,6800.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,20950.0,178.27,178.27,0.0,178.27,35362.94,0,0,True,True,True,False,0.0,0.0,0.0,0.0,0.0
16,1,16,0,4;5;6,16,16475.2,3000.0,18,127.33,6353.65,22828.85,0.0,2,6800.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,20950.0,1878.85,2057.12,0.0,2057.12,35362.94,0,0,True,True,True,False,0.0,0.0,0.0,0.0,0.0
17,1,17,0,4;5;6,17,17504.9,3000.0,18,140.23,6997.71,24502.61,0.0,2,6800.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,20950.0,3552.61,5609.73,0.0,5609.73,35362.94,0,0,True,True,True,False,0.0,0.0,0.0,0.0,0.0
18,1,18,0,4;5;6,18,18534.6,3000.0,18,152.63,7616.0,26150.6,0.0,2,6800.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,20950.0,5200.6,10810.33,0.0,10810.33,35362.94,0,0,True,True,True,True,0.0,0.0,0.0,0.0,0.0
19,1,19,0,4;5;6,19,19564.3,3000.0,18,164.52,8209.56,27773.86,0.0,2,6800.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,20950.0,6823.86,17634.19,0.0,17634.19,35362.94,0,0,True,True,True,True,0.0,0.0,0.0,0.0,0.0
20,1,20,0,4;5;6,20,20594.0,3000.0,18,175.94,8779.38,29373.38,0.0,2,6800.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,20950.0,8423.38,26057.57,0.0,26057.57,35362.94,0,0,True,True,True,True,0.0,0.0,0.0,0.0,0.0
21,1,21,0,4;5;6,21,21623.7,3000.0,18,186.9,9326.4,30950.1,0.0,3,10200.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,24350.0,6600.1,32657.67,0.0,32657.67,35362.94,0,0,True,True,True,True,0.0,0.0,0.0,0.0,0.0
22,1,22,0,4;5;6,22,22653.4,3000.0,18,197.43,9851.55,32504.95,0.0,3,10200.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,24350.0,8154.95,40812.62,0.0,40812.62,35362.94,0,0,True,True,True,True,0.0,0.0,0.0,0.0,0.0
23,1,23,0,4;5;6,23,23683.1,3000.0,18,207.53,10355.68,34038.78,0.0,3,10200.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,24350.0,9688.78,50501.4,0.0,50501.4,35362.94,0,0,True,True,True,True,0.0,0.0,0.0,0.0,0.0
24,1,24,0,4;5;6,24,24712.8,3000.0,18,217.23,10839.66,35552.46,0.0,3,10200.0,0,0.0,1,4250.0,5000.0,0.0,1900.0,24350.0,11202.46,61703.86,0.0,61703.86,35362.94,1,1,True,True,True,True,0.0,0.0,0.0,0.0,0.0
25,2,26,0,4;5;6,26,26772.2,3000.0,22,230.54,11503.87,38276.07,0.0,3,10200.0,1,4250.0,2,8500.0,5000.0,0.0,1900.0,32850.0,5426.07,67129.93,0.0,12713.04,35362.94,0,0,True,True,True,True,54416.89,27208.45,16325.07,10883.38,54416.89
26,2,28,0,4;5;6,28,28831.6,3000.0,22,243.32,12141.52,40973.12,0.0,3,10200.0,1,4250.0,2,8500.0,5000.0,0.0,1900.0,32850.0,8123.12,20836.15,0.0,14061.56,35362.94,0,0,True,True,True,True,6774.59,3387.3,2032.38,1354.92,6774.59
27,2,30,0,4;5;6,30,30891.0,3000.0,22,255.58,12753.66,43644.66,0.0,3,10200.0,1,4250.0,2,8500.0,5000.0,0.0,1900.0,32850.0,10794.66,24856.21,0.0,15397.33,35362.94,0,0,True,True,True,True,9458.89,4729.44,2837.67,1891.78,9458.89
28,2,32,0,4;5;6,32,32950.4,3000.0,22,267.36,13341.31,46291.71,0.0,4,13600.0,1,4250.0,2,8500.0,5000.0,0.0,1900.0,36250.0,10041.71,25439.04,0.0,15020.85,35362.94,0,0,True,True,True,True,10418.18,5209.09,3125.45,2083.64,10418.18
29,2,34,0,4;5;6,34,35009.8,3000.0,22,278.67,13905.46,48915.26,0.0,4,13600.0,1,4250.0,2,8500.0,5000.0,0.0,1900.0,36250.0,12665.26,27686.11,0.0,16332.63,35362.94,1,1,True,True,True,True,11353.48,5676.74,3406.04,2270.7,11353.48
30,3,37,0,4;5;6,37,38098.9,3000.0,22,289.52,14447.04,52545.94,0.0,4,13600.0,2,8500.0,3,12750.0,5000.0,0.0,1900.0,44750.0,7795.94,24128.57,0.0,13897.97,35362.94,0,0,True,True,True,True,10230.6,5115.3,3069.18,2046.12,10230.6
31,3,40,0,4;5;6,40,41188.0,3000.0,22,299.94,14966.96,56154.96,0.0,4,13600.0,2,8500.0,3,12750.0,5000.0,0.0,1900.0,44750.0,11404.96,25302.93,0.0,15702.48,35362.94,0,0,True,True,True,True,9600.45,4800.22,2880.13,1920.09,9600.45
32,3,43,0,4;5;6,43,44277.1,3000.0,22,309.94,15466.08,59743.18,0.0,5,17000.0,2,8500.0,3,12750.0,5000.0,0.0,1900.0,48150.0,11593.18,27295.66,0.0,15796.59,35362.94,0,0,True,True,True,True,11499.07,5749.53,3449.72,2299.81,11499.07
33,3,46,0,4;5;6,46,47366.2,3000.0,22,319.54,15945.24,63311.44,0.0,5,17000.0,2,8500.0,3,12750.0,5000.0,0.0,1900.0,48150.0,15161.44,30958.03,0.0,17580.72,35362.94,1,1,True,True,True,True,13377.31,6688.65,4013.19,2675.46,13377.31
34,4,50,0,4;5;6,50,51485.0,3000.0,22,328.76,16405.23,67890.23,0.0,5,17000.0,3,12750.0,4,17000.0,5000.0,0.0,1900.0,56650.0,11240.23,28820.94,0.0,15620.11,35362.94,0,0,True,True,True,True,13200.83,6600.42,3960.25,2640.17,13200.83
35,4,54,0,4;5;6,54,55603.8,3000.0,22,337.61,16846.82,72450.62,0.0,6,20400.0,3,12750.0,4,17000.0,5000.0,0.0,1900.0,60050.0,12400.62,28020.73,0.0,16200.31,35362.94,0,0,True,True,True,True,11820.42,5910.21,3546.13,2364.08,11820.42
36,4,58,0,4;5;6,58,59722.6,3000.0,22,346.11,17270.74,76993.34,0.0,6,20400.0,3,12750.0,4,17000.0,5000.0,0.0,1900.0,60050.0,16943.34,33143.65,0.0,18471.67,35362.94,0,0,True,True,True,True,14671.98,7335.99,4401.59,2934.4,14671.98
37,4,62,0,4;5;6,62,63841.4,3000.0,22,354.26,17677.71,81519.11,0.0,7,23800.0,3,12750.0,4,17000.0,5000.0,0.0,1900.0,63450.0,18069.11,36540.79,0.0,19034.56,35362.94,1,1,True,True,True,True,17506.23,8753.11,5251.87,3501.25,17506.23
38,5,67,0,4;5;6,67,68989.9,3000.0,22,362.09,18068.41,87058.31,0.0,7,23800.0,4,17000.0,5,21250.0,5000.0,0.0,1900.0,71950.0,15108.31,34142.86,0.0,17554.15,35362.94,0,0,True,True,True,True,16588.71,8294.36,4976.61,3317.74,16588.71
39,5,72,0,4;5;6,72,74138.4,3000.0,22,369.61,18443.47,92581.87,0.0,8,27200.0,4,17000.0,5,21250.0,5000.0,0.0,1900.0,75350.0,17231.87,34786.02,0.0,18615.93,35362.94,0,0,True,True,True,True,16170.09,8085.04,4851.03,3234.02,16170.09
40,5,77,0,4;5;6,77,79286.9,3000.0,22,376.82,18803.53,98090.43,0.0,8,27200.0,4,17000.0,5,21250.0,5000.0,0.0,1900.0,75350.0,22740.43,41356.37,0.0,21370.22,35362.94,1,1,True,True,True,True,19986.15,9993.08,5995.85,3997.23,19986.15
41,6,83,0,4;5;6,83,85465.1,3000.0,22,383.75,19149.19,104614.29,0.0,9,30600.0,5,21250.0,6,25500.0,5000.0,0.0,1900.0,87250.0,17364.29,38734.51,0.0,18682.14,35362.94,0,0,True,True,True,True,20052.36,10026.18,6015.71,4010.47,20052.36
42,6,89,0,4;5;6,89,91643.3,3000.0,22,390.4,19481.02,111124.32,0.0,9,30600.0,5,21250.0,6,25500.0,5000.0,0.0,1900.0,87250.0,23874.32,42556.47,0.0,21937.16,35362.94,1,1,True,True,True,True,20619.31,10309.65,6185.79,4123.86,20619.31
43,7,96,0,4;5;6,96,98851.2,3000.0,22,396.79,19799.58,118650.78,0.0,10,34000.0,6,25500.0,7,29750.0,5000.0,0.0,1900.0,99150.0,19500.78,41437.94,0.0,19750.39,35362.94,0,0,True,True,True,True,21687.55,10843.78,6506.27,4337.51,21687.55
44,7,103,0,4;5;6,103,106059.1,3000.0,22,402.91,20105.4,126164.5,0.0,11,37400.0,6,25500.0,7,29750.0,5000.0,0.0,1900.0,102550.0,23614.5,43364.89,0.0,21807.25,35362.94,0,0,True,True,True,True,21557.64,10778.82,6467.29,4311.53,21557.64
45,7,110,0,4;5;6,110,113267.0,3000.0,22,408.8,20398.98,133665.98,0.0,11,37400.0,6,25500.0,7,29750.0,5000.0,0.0,1900.0,102550.0,31115.98,52923.23,0.0,25557.99,35362.94,1,1,True,True,True,True,27365.24,13682.62,8209.57,5473.05,27365.24
46,8,118,0,4;5;6,118,121504.6,3000.0,22,414.45,20680.82,142185.42,0.0,12,40800.0,7,29750.0,8,34000.0,5000.0,0.0,1900.0,114450.0,27735.42,53293.41,0.0,23867.71,35362.94,0,0,True,True,True,True,29425.7,14712.85,8827.71,5885.14,29425.7
47,8,126,0,4;5;6,126,129742.2,3000.0,22,419.87,20951.39,150693.59,0.0,13,44200.0,7,29750.0,8,34000.0,5000.0,0.0,1900.0,117850.0,32843.59,56711.3,0.0,26421.8,35362.94,1,1,True,True,True,True,30289.51,15144.75,9086.85,6057.9,30289.51
48,9,135,0,4;5;6,135,139009.5,3000.0,22,425.07,21211.13,160220.63,0.0,14,47600.0,8,34000.0,9,38250.0,5000.0,0.0,1900.0,129750.0,30470.63,56892.43,0.0,25235.32,35362.94,0,0,True,True,True,True,31657.11,15828.56,9497.13,6331.42,31657.11
49,9,144,0,4;5;6,144,148276.8,3000.0,22,430.07,21460.49,169737.29,0.0,15,51000.0,8,34000.0,9,38250.0,5000.0,0.0,1900.0,133150.0,36587.29,61822.61,0.0,28293.64,35362.94,1,1,True,True,True,True,33528.96,16764.48,10058.69,6705.79,33528.96
50,10,154,0,4;5;6,154,158573.8,3000.0,22,434.87,21699.87,180273.67,0.0,16,54400.0,9,38250.0,10,42500.0,5000.0,0.0,1900.0,145050.0,35223.67,63517.31,0.0,27611.83,35362.94,1,1,True,True,True,True,35905.48,17952.74,10771.64,7181.1,35905.48
51,11,165,0,4;5;6,165,169900.5,3000.0,22,439.47,21929.67,191830.17,0.0,17,57800.0,10,42500.0,11,46750.0,5000.0,0.0,1900.0,156950.0,34880.17,62492.01,0.0,27440.09,35362.94,0,0,True,True,True,True,35051.92,17525.96,10515.58,7010.38,35051.92
52,11,176,0,4;5;6,176,181227.2,3000.0,22,443.89,22150.29,203377.49,0.0,18,61200.0,10,42500.0,11,46750.0,5000.0,0.0,1900.0,160350.0,43027.49,70467.58,0.0,31513.74,35362.94,1,1,True,True,True,True,38953.83,19476.92,11686.15,7790.77,38953.83
53,12,188,0,4;5;6,188,193583.6,3000.0,22,448.14,22362.08,215945.68,0.0,19,64600.0,11,46750.0,12,51000.0,5000.0,0.0,1900.0,172250.0,43695.68,75209.42,0.0,31847.84,35362.94,1,1,True,True,True,True,43361.58,21680.79,13008.47,8672.32,43361.58
54,13,201,0,4;5;6,201,206969.7,3000.0,22,452.21,22565.39,229535.09,0.0,21,71400.0,12,51000.0,13,55250.0,5000.0,0.0,1900.0,187550.0,41985.09,73832.93,0.0,30992.55,35362.94,0,0,True,True,True,True,42840.38,21420.19,12852.12,8568.08,42840.38
55,13,214,0,4;5;6,214,220355.8,3000.0,22,456.12,22760.58,243116.38,0.0,22,74800.0,12,51000.0,13,55250.0,5000.0,0.0,1900.0,190950.0,52166.38,83158.92,0.0,36083.19,35362.94,1,1,True,True,True,True,47075.74,23537.87,14122.72,9415.15,47075.74
56,14,228,0,4;5;6,228,234771.6,3000.0,22,459.88,22947.95,257719.55,0.0,23,78200.0,13,55250.0,14,59500.0,5000.0,0.0,1900.0,202850.0,54869.55,90952.74,0.0,37434.78,35362.94,1,1,True,True,True,True,53517.97,26758.98,16055.39,10703.59,53517.97
57,15,243,0,4;5;6,243,250217.1,3000.0,22,463.48,23127.84,273344.94,0.0,25,85000.0,14,59500.0,15,63750.0,5000.0,0.0,1900.0,218150.0,55194.94,92629.71,0.0,37597.47,35362.94,1,1,True,True,True,True,55032.25,27516.12,16509.67,11006.45,55032.25
58,16,259,0,4;5;6,259,266692.3,3000.0,22,466.94,23300.52,289992.82,0.0,26,88400.0,15,63750.0,16,68000.0,5000.0,0.0,1900.0,230050.0,59942.82,97540.29,0.0,39971.41,35362.94,1,1,True,True,True,True,57568.88,28784.44,17270.66,11513.78,57568.88
59,17,276,0,4;5;6,276,284197.2,3000.0,22,470.27,23466.3,307663.5,0.0,28,95200.0,16,68000.0,17,72250.0,5000.0,0.0,1900.0,245350.0,62313.5,102284.91,0.0,41156.75,35362.94,1,1,True,True,True,True,61128.16,30564.08,18338.45,12225.63,61128.16
60,18,294,0,4;5;6,294,302731.8,3000.0,22,473.46,23625.45,326357.25,0.0,30,102000.0,17,72250.0,18,76500.0,5000.0,0.0,1900.0,260650.0,65707.25,106864.0,0.0,42853.62,35362.94,1,1,True,True,True,True,64010.38,32005.19,19203.11,12802.08,64010.38
